"項目","平成13年度(2001)_雇主の現実社会負担","平成13年度(2001)_雇用者の社会負担","平成13年度(2001)_合計","平成14年度(2002)_雇主の現実社会負担","平成14年度(2002)_雇用者の社会負担","平成14年度(2002)_合計","平成15年度(2003)_雇主の現実社会負担","平成15年度(2003)_雇用者の社会負担","平成15年度(2003)_合計"
"１．特別会計","85115.0","92884.0","177999.0","83794.0","91894.0","175688.0","81094.0","90067.0","171161.0"
"１．特別会計_(1)厚生保険(除児童手当及び子ども手当)","70149.0","88425.0","140027.0","69536.0","87470.0","138829.0","67404.0","85242.0","134808.0"
"１．特別会計_(1)厚生保険(除児童手当及び子ども手当)_ａ．健康保険","24220.0","23949.0","48169.0","23421.0","23179.0","46600.0","24224.0","24224.0","48448.0"
"１．特別会計_(1)厚生保険(除児童手当及び子ども手当)_ｂ．厚生年金(除基金分)","45929.0","45929.0","91858.0","46115.0","46115.0","92230.0","43180.0","43180.0","86360.0"
"１．特別会計_(1)厚生保険(除児童手当及び子ども手当)_ｃ．国民年金","ー","18547.0","18547.0","ー","18177.0","18177.0","ー","17838.0","17838.0"
"１．特別会計_(2)労働保険","14498.0","4275.0","18773.0","13811.0","4249.0","18060.0","13279.0","4655.0","17934.0"
"１．特別会計_(2)労働保険_ａ．労災保険","7717.0","－","7717.0","7237.0","－","7237.0","6309.0","－","6309.0"
"１．特別会計_(2)労働保険_ｂ．雇用保険（失業保険）","6781.0","4275.0","11056.0","6574.0","4249.0","10823.0","6970.0","4655.0","11625.0"
"１．特別会計_(3)船員保険","468.0","183.0","651.0","447.0","175.0","622.0","411.0","171.0","582.0"
"２．国民健康保険","ー","30050.0","30050.0","ー","32761.0","32761.0","ー","29269.0","29269.0"
"３．後期高齢者医療","－","－","－","－","－","－","－","－","－"
"４．共済組合","31756.0","31475.0","63231.0","29962.0","29217.0","59179.0","28756.0","29353.0","58109.0"
"４．共済組合_(1)国家公務員共済組合","4417.0","4427.0","8844.0","4512.0","4523.0","9034.0","4649.0","4655.0","9303.0"
"４．共済組合_(1)国家公務員共済組合_ａ．短期経理","1280.0","1324.0","2604.0","1315.0","1360.0","2675.0","1322.0","1361.0","2682.0"
"４．共済組合_(1)国家公務員共済組合_ｂ．長期経理","3074.0","3059.0","6133.0","3132.0","3117.0","6250.0","3260.0","3249.0","6510.0"
"４．共済組合_(1)国家公務員共済組合_ｃ．業務経理","21.0","0.0","21.0","22.0","0.0","22.0","24.0","0.0","24.0"
"４．共済組合_(1)国家公務員共済組合_ｂ．保健経理","42.0","44.0","86.0","43.0","45.0","88.0","43.0","45.0","87.0"
"４．共済組合_(2)地方公務員共済組合","23949.0","23589.0","47538.0","23940.0","23611.0","47551.0","22907.0","23486.0","46393.0"
"４．共済組合_(2)地方公務員共済組合_ａ．短期経理","6686.0","6776.0","13462.0","6791.0","6899.0","13690.0","6790.0","6873.0","13663.0"
"４．共済組合_(2)地方公務員共済組合_ｂ．長期経理","16651.0","16442.0","33093.0","16536.0","16343.0","32878.0","15530.0","16258.0","31788.0"
"４．共済組合_(2)地方公務員共済組合_ｃ．業務経理","237.0","0.0","237.0","239.0","0.0","239.0","225.0","0.0","225.0"
"４．共済組合_(2)地方公務員共済組合_ｂ．保健経理","376.0","370.0","746.0","375.0","369.0","744.0","361.0","356.0","717.0"
"４．共済組合_(3)その他(旧公共企業退職員共済組合を含む)","3389.0","3460.0","6849.0","1510.0","1083.0","2593.0","1201.0","1212.0","2412.0"
"４．共済組合_(3)その他(旧公共企業退職員共済組合を含む)_ａ．短期経理","701.0","715.0","1416.0","492.0","353.0","845.0","428.0","432.0","860.0"
"４．共済組合_(3)その他(旧公共企業退職員共済組合を含む)_ｂ．長期経理","2688.0","2744.0","5432.0","1017.0","730.0","1747.0","772.0","779.0","1551.0"
"４．共済組合_(3)その他(旧公共企業退職員共済組合を含む)_ｃ．業務経理","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0"
"４．組合管掌健康保険","19526.0","15275.0","34801.0","18956.0","14899.0","33855.0","19762.0","15836.0","35598.0"
"５．全国健康保険協会","－","－","－","－","－","－","－","－","－"
"６．児童手当及び子ども手当","1139.0","0.0","1139.0","1154.0","0.0","1154.0","1117.0","0.0","1117.0"
"７．基金","455.0","0.0","455.0","520.0","0.0","520.0","433.0","0.0","433.0"
"８．介護保険","4701.0","13099.0","17800.0","4331.0","14855.0","19186.0","4232.0","15811.0","20043.0"
"合計","142692.0","182782.0","325474.0","138717.0","183626.0","322343.0","135394.0","180336.0","315730.0"
